iteración,arch,config,dropout,wd,lr,params,val_acc,val_prec,val_rec,val_f1,tiempo_s
MLP-1_base,MLP,hidden=[128],0.0,0.0,0.001,101770,0.9747,0.9744,0.9744,0.9744,24.6
MLP-2_wider,MLP,hidden=[256],0.0,0.0,0.001,203530,0.9773,0.9772,0.977,0.9771,21.8
MLP-3_deeper,MLP,"hidden=[256, 128]",0.0,0.0,0.001,235146,0.9763,0.976,0.9763,0.9761,22.7
MLP-4_dropout,MLP,"hidden=[256, 128]",0.3,0.0,0.001,235146,0.9788,0.9786,0.9786,0.9785,23.3
MLP-5_dropout_wd,MLP,"hidden=[256, 128]",0.3,0.0001,0.001,235146,0.9785,0.9782,0.9781,0.9781,24.5
MLP-6_bigger_reg,MLP,"hidden=[512, 256]",0.3,0.0001,0.001,535818,0.9797,0.9795,0.9794,0.9794,26.4
CNN-1_base,CNN,"ch=[16, 32], bn=False",0.0,0.0,0.001,20490,0.9865,0.9865,0.9863,0.9864,34.0
CNN-2_wider,CNN,"ch=[32, 64], bn=False",0.0,0.0,0.001,50186,0.9875,0.9875,0.9873,0.9874,34.6
CNN-3_batchnorm,CNN,"ch=[32, 64], bn=True",0.0,0.0,0.001,50378,0.9877,0.9876,0.9875,0.9875,38.2
CNN-4_bn_dropout,CNN,"ch=[32, 64], bn=True",0.25,0.0,0.001,50378,0.9903,0.9902,0.9902,0.9902,36.5
CNN-5_bn_drop_wd,CNN,"ch=[32, 64], bn=True",0.25,0.0001,0.001,50378,0.9887,0.9885,0.9886,0.9885,37.8
CNN-6_deeper,CNN,"ch=[32, 64, 128], bn=True",0.25,0.0001,0.001,104650,0.9918,0.9919,0.9916,0.9917,47.0
